post_id,influencer_id,platform,date,URL,caption,reach,likes,comments
POST_00001,INF_0001,YouTube,2025-05-01,https://www.youtube.com/inf_0001/post_00001,Sapiente possimus placeat commodi itaque sint sequi expedita dolore nulla voluptatum soluta voluptatem accusantium. #HKVitals #XUWXF,137967,3118,624
POST_00002,INF_0001,YouTube,2024-10-08,https://www.youtube.com/inf_0001/post_00002,Officia reprehenderit doloribus exercitationem autem eum animi voluptas officia numquam rem eligendi eveniet molestias laudantium. #Gritzo #TYGEU,106342,4030,335
POST_00003,INF_0002,YouTube,2025-06-27,https://www.youtube.com/inf_0002/post_00003,Officia assumenda totam optio culpa impedit quo earum aliquam necessitatibus neque. #Gritzo #WVGUC,154870,5786,526
POST_00004,INF_0002,YouTube,2024-11-01,https://www.youtube.com/inf_0002/post_00004,Cupiditate nisi cupiditate expedita excepturi pariatur fugiat quidem eum alias assumenda necessitatibus officiis dolorum tenetur. #HKVitals #HUFAF,65147,2147,519
POST_00005,INF_0002,YouTube,2025-04-03,https://www.youtube.com/inf_0002/post_00005,Consequatur dolore temporibus esse provident facilis nesciunt itaque quae cumque dolorem quia. #HKVitals #QKZNY,30024,1223,101
POST_00006,INF_0002,YouTube,2024-08-30,https://www.youtube.com/inf_0002/post_00006,Quidem magnam alias deserunt officiis voluptate mollitia iste neque maxime nam ipsa impedit doloribus. #MuscleBlaze #CLSIP,95361,2187,345
POST_00007,INF_0002,YouTube,2025-06-01,https://www.youtube.com/inf_0002/post_00007,Laboriosam eaque occaecati nisi laboriosam cumque repellat. #MuscleBlaze #SAYNS,133389,4194,490
POST_00008,INF_0002,Instagram,2024-11-13,https://www.instagram.com/inf_0002/post_00008,Ut nesciunt accusamus perspiciatis blanditiis inventore laboriosam voluptas illo assumenda non odio est quaerat atque expedita. #Gritzo #XQRDX,94652,4976,546
POST_00009,INF_0002,Twitter,2025-01-15,https://www.twitter.com/inf_0002/post_00009,Optio incidunt dolorum sed consequuntur incidunt earum minus reiciendis repellat. #HKVitals #OERJT,39704,754,94
POST_00010,INF_0003,YouTube,2025-06-20,https://www.youtube.com/inf_0003/post_00010,Omnis vel mollitia dolorum numquam tempore odio voluptas illo assumenda delectus. #HKVitals #FUPIL,495388,12487,2540
POST_00011,INF_0003,Twitter,2025-02-22,https://www.twitter.com/inf_0003/post_00011,Repudiandae quidem unde impedit a mollitia earum assumenda. #MuscleBlaze #RHRQC,679832,9027,964
POST_00012,INF_0004,Instagram,2025-02-25,https://www.instagram.com/inf_0004/post_00012,Alias occaecati sequi illo sed iusto optio vitae id beatae occaecati asperiores. #MuscleBlaze #BZPTL,352245,20743,3885
POST_00013,INF_0004,YouTube,2025-07-16,https://www.youtube.com/inf_0004/post_00013,Ipsum harum ad perspiciatis laudantium doloribus dolore vero occaecati vero possimus sunt sed commodi. #HKVitals #KDRXW,351997,18573,1677
POST_00014,INF_0004,Twitter,2025-03-09,https://www.twitter.com/inf_0004/post_00014,Vitae rerum accusantium similique laudantium nam nam maiores maiores eius a earum nesciunt. #Gritzo #MOXDD,196421,6140,948
POST_00015,INF_0004,YouTube,2025-06-02,https://www.youtube.com/inf_0004/post_00015,Natus ratione sunt dolorem optio consequatur nulla molestias reprehenderit corrupti eveniet. #HKVitals #PSNVO,356338,17526,2416
POST_00016,INF_0004,YouTube,2025-01-04,https://www.youtube.com/inf_0004/post_00016,Quisquam quia nam commodi iste fugit est libero. #MuscleBlaze #VHUMG,187264,9356,870
POST_00017,INF_0005,YouTube,2024-09-30,https://www.youtube.com/inf_0005/post_00017,Harum nihil asperiores iure minus deleniti fugiat aliquam doloremque. #Gritzo #CDJDF,152402,3343,455
POST_00018,INF_0005,Instagram,2024-11-09,https://www.instagram.com/inf_0005/post_00018,Explicabo at aliquid commodi quo quaerat quod. #MuscleBlaze #VKUYA,299822,14166,1959
POST_00019,INF_0005,YouTube,2025-02-18,https://www.youtube.com/inf_0005/post_00019,Totam deserunt neque alias sapiente vel excepturi dolores atque alias facere aperiam repudiandae quasi. #HKVitals #TWYKT,193947,5886,533
POST_00020,INF_0005,Instagram,2024-08-28,https://www.instagram.com/inf_0005/post_00020,Perferendis non dolorum eum facilis quidem animi soluta saepe sunt est. #HKVitals #LAIRK,73335,3302,245
POST_00021,INF_0005,Twitter,2025-06-14,https://www.twitter.com/inf_0005/post_00021,Dolorem tempore iusto incidunt labore voluptatum magnam praesentium adipisci quaerat delectus cum earum repudiandae eaque. #Gritzo #AKOAQ,64047,1161,70
POST_00022,INF_0005,YouTube,2025-05-05,https://www.youtube.com/inf_0005/post_00022,Rem voluptate repellendus non assumenda doloremque deserunt porro. #HKVitals #FITJT,284398,6019,399
POST_00023,INF_0005,Instagram,2025-07-10,https://www.instagram.com/inf_0005/post_00023,Porro delectus corporis possimus excepturi facere occaecati id quaerat laborum sed ipsum rem enim quis molestiae. #Gritzo #OZJQU,227376,11515,2744
POST_00024,INF_0006,Instagram,2025-03-05,https://www.instagram.com/inf_0006/post_00024,Dolore fugit rem veniam reiciendis quam architecto facere tempore qui quis magnam fugit. #Gritzo #DDROF,544178,31879,2591
POST_00025,INF_0006,Twitter,2025-05-11,https://www.twitter.com/inf_0006/post_00025,Ipsa natus asperiores harum corrupti ex soluta dolore unde rerum eligendi adipisci delectus rerum. #Gritzo #SUEIP,707136,12382,2832
POST_00026,INF_0006,YouTube,2024-11-03,https://www.youtube.com/inf_0006/post_00026,Porro rem ipsa debitis consectetur rem itaque eum sequi quos. #HKVitals #YFPVG,542565,11056,1991
POST_00027,INF_0006,Instagram,2025-02-14,https://www.instagram.com/inf_0006/post_00027,Nemo delectus repellendus asperiores minima officiis ipsam ex aspernatur ducimus. #Gritzo #UJLJN,289727,16162,3388
POST_00028,INF_0006,Instagram,2024-10-01,https://www.instagram.com/inf_0006/post_00028,Asperiores veritatis asperiores dolor labore eaque impedit reiciendis veniam. #HKVitals #YQVSL,568563,37890,3770
POST_00029,INF_0007,YouTube,2024-07-27,https://www.youtube.com/inf_0007/post_00029,Aut doloremque natus maiores accusantium consectetur ea. #HKVitals #LTGWV,2142,81,7
