source,campaign,influencer_id,user_id,product,date,orders,revenue
POST_00630,HKVitals_Campaign_X,INF_0099,USER_010000,Probiotics,2024-10-20,2,3408
POST_00374,HKVitals_Campaign_C,INF_0063,USER_010001,Probiotics,2024-09-17,1,1185
POST_00066,MuscleBlaze_Campaign_C,INF_0011,USER_010002,Pre-Workout,2025-05-19,1,1451
POST_00416,MuscleBlaze_Campaign_Y,INF_0068,USER_010003,Mass Gainer,2024-10-08,1,1223
POST_00498,MuscleBlaze_Campaign_Z,INF_0080,USER_010004,Pre-Workout,2025-07-18,1,1801
POST_00265,MuscleBlaze_Campaign_X,INF_0047,USER_010005,BCAA,2025-07-10,1,1208
POST_00021,MuscleBlaze_Campaign_B,INF_0005,USER_010006,Whey Protein,2025-07-13,2,2251
POST_00066,HKVitals_Campaign_X,INF_0011,USER_010007,Probiotics,2025-05-13,2,3309
POST_00144,HKVitals_Campaign_X,INF_0026,USER_010008,Omega-3,2025-03-08,1,1711
POST_00595,HKVitals_Campaign_B,INF_0095,USER_010009,Vitamin D,2025-07-21,1,1131
POST_00321,MuscleBlaze_Campaign_A,INF_0056,USER_010010,Pre-Workout,2025-05-10,1,1720
POST_00110,MuscleBlaze_Campaign_A,INF_0019,USER_010011,BCAA,2025-06-27,1,1899
POST_00116,MuscleBlaze_Campaign_Y,INF_0021,USER_010012,BCAA,2025-06-23,1,1477
POST_00377,MuscleBlaze_Campaign_B,INF_0064,USER_010013,BCAA,2024-12-25,1,1920
POST_00056,HKVitals_Campaign_C,INF_0010,USER_010014,Omega-3,2025-06-09,1,1396
POST_00125,HKVitals_Campaign_A,INF_0022,USER_010015,Omega-3,2025-03-29,2,2799
POST_00242,MuscleBlaze_Campaign_C,INF_0042,USER_010016,Mass Gainer,2025-06-09,2,4981
POST_00035,MuscleBlaze_Campaign_A,INF_0007,USER_010017,Whey Protein,2025-06-12,1,1896
POST_00433,HKVitals_Campaign_B,INF_0070,USER_010018,Multivitamin,2025-06-27,1,1679
POST_00431,MuscleBlaze_Campaign_C,INF_0070,USER_010019,BCAA,2025-06-30,1,1219
POST_00455,HKVitals_Campaign_Z,INF_0074,USER_010020,Omega-3,2024-12-13,1,1230
POST_00085,HKVitals_Campaign_C,INF_0013,USER_010021,Multivitamin,2025-04-22,1,1515
POST_00328,HKVitals_Campaign_Z,INF_0057,USER_010022,Probiotics,2025-03-20,1,1712
POST_00608,HKVitals_Campaign_Y,INF_0097,USER_010023,Vitamin D,2025-05-14,1,1423
POST_00387,HKVitals_Campaign_B,INF_0065,USER_010024,Omega-3,2025-05-18,1,1071
POST_00235,HKVitals_Campaign_C,INF_0041,USER_010025,Multivitamin,2025-06-28,2,2457
POST_00633,HKVitals_Campaign_Z,INF_0100,USER_010026,Probiotics,2025-02-01,1,1184
POST_00581,HKVitals_Campaign_A,INF_0092,USER_010027,Multivitamin,2025-06-11,1,1523
POST_00230,HKVitals_Campaign_Z,INF_0041,USER_010028,Omega-3,2025-07-13,1,1826
POST_00507,HKVitals_Campaign_B,INF_0081,USER_010029,Probiotics,2025-06-14,1,1821
